Year,Product Type,Product/Title,Plot/Notes,Tags
2000,website,"hotjobs.com""negotiations""","two businessmen negotiate with a giant, lightup mousepointer hand. the hand mocks the first businessmans suggestions, noting that ""a startup in frisco made a mockery of your signing bonus."" the businessman tells the hand ""i dont like you.""","[('website', 1.0), ('negotiations', 0.6359), ('hotjobs', 0.6338), ('businessman', 0.4522), ('businessmans', 0.4466)]"
2000,website,"kforce""looking for a job""","a man leads someone through the redlight district of a city. after walking through a door marked ""jobs"", he falls down a chute into a desert. images of kforce.com at work are then shown.","[('website', 1.0), ('kforce', 0.6547), ('desert', 0.4603), ('job', 0.4297), ('redlight', 0.3771)]"
2000,website,"lastminutetravel.com""tornado""",two men set up lawn chairs and watch an incoming tornado. they discuss one mans recent trip to barbados as the tornado sucks the other man away at the last minute.,"[('website', 1.0), ('tornado', 0.7248), ('lastminutetravel', 0.4247), ('com', 0.3593), ('men', 0.3355)]"
2000,website,"lifeminders.com""the worst commercial""","on yellow paper in typing while ""chopsticks"" is played on piano, a message says: ""this is the worst commercial on the super bowl. but it might be the best thing you see tonight. introducing lifeminders.com. we send highly personalized emails on topics you ask for. free. no junk. how can we do all this with 7.5 million members were information experts geeks. but we dont know diddly about making ads.""","[('website', 1.0), ('commercial', 0.5663), ('lifeminders', 0.5185), ('ads', 0.4502), ('com', 0.3699)]"
2000,website,"microstrategy""fraud""","a voice over a cell phone helps a man to reschedule a flight. when he tries to pay for it with a credit card, the voice alerts police that the man is impersonating the real cardholder.","[('website', 1.0), ('fraud', 0.6655), ('microstrategy', 0.646), ('voice', 0.4465), ('cardholder', 0.3949)]"
2000,website,"microstrategy""stock alert""",a woman in an airport uses her mobile device to trade stocks.,"[('website', 1.0), ('microstrategy', 0.5413), ('alert', 0.5181), ('stock', 0.4921), ('airport', 0.3912)]"
2000,website,"monster.com""the road less travelled""","a woman stands on a street corner in a city. various people walking past her recite ""the road not taken"" by robert frost.","[('website', 1.0), ('road', 0.4814), ('monster', 0.4512), ('street', 0.4071), ('woman', 0.3663)]"
2000,website,"onmoney.com""paper monster""","a man sits in a room with papers scattered everywhere. the papers gather into the shape of a monster and assault him. he survives by opening his laptop, which sucks the paper monster inside of it.","[('website', 1.0), ('paper', 0.4792), ('monster', 0.4713), ('laptop', 0.4037), ('com', 0.4016)]"
2000,website,"netpliance""webhead""",various images of people wearing glasses with tape across the middle are shown. a voice asks what would happen if everyone could access the internet without a computer.,"[('website', 1.0), ('netpliance', 0.6414), ('webhead', 0.6191), ('glasses', 0.4762), ('internet', 0.4327)]"
2000,website,"ourbeginning.com""invites""",soontobemarried brides fight with each other at a wedding invitation store.,"[('website', 1.0), ('invites', 0.7647), ('wedding', 0.5851), ('brides', 0.5747), ('soontobemarried', 0.4325)]"
2000,website,"pets.com""if you leave me now""","when pets are left home, the pets.com sockpuppet sings the chicago song ""if you leave me now"".","[('website', 1.0), ('pets', 0.4951), ('sockpuppet', 0.3636), ('chicago', 0.347), ('leave', 0.3403)]"
2000,website,"webmd""ali""",a closeup video of muhammad ali shadowboxing is shown. onscreen text makes obscure references to circumventing the healthcare system.,"[('website', 1.0), ('ali', 0.6482), ('webmd', 0.6015), ('shadowboxing', 0.4556), ('healthcare', 0.434)]"
2001,beer,"budweiser""we are not alone""","a dog is abducted by aliens. it is revealed that the dog is actually an alien in disguise. when the leader asks what he has learned, the alien quotes the whassup line. it soon catches on with the alien, and an alien intelligence agency finally detects the race.","[('beer', 1.0), ('budweiser', 0.6937), ('aliens', 0.4644), ('alien', 0.4417), ('abducted', 0.4402)]"
2001,beer,"budweiser""what are you doing""","a commercial plays that shows sharply dressed men parodying the whassup commercials with the line ""what are you doing"" it is then revealed to be a commercial watched by the men from the whassup commercials.","[('beer', 1.0), ('budweiser', 0.7356), ('commercial', 0.549), ('commercials', 0.5487), ('whassup', 0.433)]"
2001,film,a knights tale,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('knights', 0.7534), ('tv', 0.6307), ('tale', 0.5775)]"
2001,film,exit wounds,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('wounds', 0.7523), ('exit', 0.6602), ('tv', 0.6307)]"
2001,film,hannibal,tv promo.,"[('film', 1.0), ('hannibal', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2001,film,swordfish,tv promo.,"[('film', 1.0), ('swordfish', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2001,film,the fast and the furious,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('furious', 0.7559), ('tv', 0.6307), ('fast', 0.3956)]"
2001,film,the mummy returns,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('mummy', 0.8), ('tv', 0.6307), ('returns', 0.3686)]"
2001,food,"george foreman grill""colors""",people dance to celebrate the five new colors the george foreman grill comes in.,"[('food', 1.0), ('foreman', 0.5737), ('grill', 0.5493), ('colors', 0.497), ('celebrate', 0.4058)]"
2001,video game,"playstation 2""future""",a future commercial advertises the ps9.,"[('video game', 1.0), ('playstation', 0.6675), ('ps9', 0.6622), ('future', 0.6159), ('advertises', 0.4255)]"
2001,soft drink,"pepsi""the best pepsi ad ever""",the winner of the online poll for the best pepsi commercial that aired during the super bowl is announced. the winning commercial is played: the 1992 cindy crawford commercial.,"[('soft drink', 1.0), ('pepsi', 0.7245), ('commercial', 0.4574), ('ad', 0.3937), ('cindy', 0.3402)]"
2001,soft drink,"pepsi""bob dole""","bob dole does a spoof on his erectile dysfunction commercials by using pepsi as the product. pepsi helps him feel young again, as he does a backflip.cast: bob dole, eric stonestreet.","[('soft drink', 1.0), ('pepsi', 0.6637), ('dole', 0.5795), ('bob', 0.5065), ('commercials', 0.4468)]"
2001,soft drink,"pepsi""rollercoaster""","a man brings a full cup of pepsi on a rollercoaster. somehow, he manages to spill none of it on the ride. later, an attractive woman asks him for the time, and he spills the pepsi on his shirt.","[('soft drink', 1.0), ('rollercoaster', 0.7077), ('pepsi', 0.6845), ('spill', 0.4118), ('spills', 0.3804)]"
2001,website,"etrade""ghost town""","in a spoof of the famous 1970s crying indian commercial, the chimp from last years popular etrade commercial wanders through a ghost town on a pony. several deserted dotcom businesses are seen, referring to the various dotcom companies which went bankrupt partly due to their commercials last year. the chimp sheds a tear for the corpse of the pets.com sock puppet dog.","[('website', 1.0), ('chimp', 0.556), ('ghost', 0.553), ('town', 0.5175), ('etrade', 0.4986)]"
2002,beer,"budweiser""clydesdale respect""","as a tribute to the victims of the september 11th attacks, budweiser produced a one time only advertisement. the commercial shows the budweiser clydesdales walking across the brooklyn bridge into new york city. they then stopped, gazed at the ruined new york skyline, and bowed in reverence and respect. the commercial aired only once, but was available on the website for a period of one year. a modern take on this commercial aired a decade later, with the newlybuilt one world trade center in the background skyline.","[('beer', 1.0), ('budweiser', 0.7403), ('clydesdale', 0.7031), ('commercial', 0.3718), ('respect', 0.3714)]"
2002,film,austin powers in goldmember,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('goldmember', 0.6776), ('tv', 0.6307), ('austin', 0.5012)]"
2002,film,blade ii,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('blade', 0.8058), ('tv', 0.6307), ('ii', 0.4343)]"
2002,film,collateral damage,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('collateral', 0.7277), ('tv', 0.6307), ('damage', 0.5871)]"
2002,film,spiderman,"tv promo, which gained popularity.","[('film', 1.0), ('spiderman', 1.0), ('promo', 0.6265), ('popularity', 0.5484), ('tv', 0.4807)]"
2002,food,"lipton brisk""puppet strike""","a puppet version of danny devito is fired, as the new brisk is so good, it sells itself. this causes all the puppets from the lipton brisk commercials to go on strike.","[('food', 1.0), ('lipton', 0.5737), ('puppet', 0.5444), ('puppets', 0.4869), ('strike', 0.4237)]"
2002,video game,madden nfl 2002,tv promo.,"[('video game', 1.0), ('madden', 0.8266), ('promo', 0.8236), ('tv', 0.6307), ('nfl', 0.6134)]"
2002,soft drink,"pepsi""now and then""","britney spears promotes the pepsi generation in the years 1958, 1963, 1966, 1970, 1989, and the present day.director: joe pytka cast: britney spears.","[('soft drink', 1.0), ('pepsi', 0.7094), ('britney', 0.4687), ('1989', 0.3155), ('1958', 0.2738)]"
2002,soft drink,"pepsi""the joy of pepsi""","britney spears sings an updated version of ""the joy of pepsi"" jingle which was first introduced in 1999. a 90second music video was made into a commercial, which aired during the super bowl.","[('soft drink', 1.0), ('pepsi', 0.8133), ('britney', 0.4619), ('jingle', 0.4439), ('joy', 0.4319)]"
2002,website,"yahoo""dolphin""",a man is walking in the waters near an island when he meets a talking dolphin. the man says he found the island on yahoo. the dolphin then admits it learned to talk on yahoo as well.,"[('website', 1.0), ('dolphin', 0.7563), ('yahoo', 0.563), ('island', 0.4111), ('waters', 0.3332)]"
2003,film,anger management,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('anger', 0.7333), ('tv', 0.6307), ('management', 0.3884)]"
2003,film,bad boys ii,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('boys', 0.4914), ('ii', 0.4129)]"
2003,film,bruce almighty,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('bruce', 0.7738), ('tv', 0.6307), ('almighty', 0.5549)]"
2003,film,charlies angels: full throttle,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('throttle', 0.5828), ('charlies', 0.5331)]"
2003,film,daredevil,tv promo.,"[('film', 1.0), ('daredevil', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2003,film,gods and generals,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('generals', 0.7013), ('gods', 0.6401), ('tv', 0.6307)]"
2003,film,hulk,tv promo.,"[('film', 1.0), ('hulk', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2003,film,the matrix reloaded,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('matrix', 0.6161), ('reloaded', 0.5923)]"
2003,film,tears of the sun,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('sun', 0.6673), ('tears', 0.6438), ('tv', 0.6307)]"
2003,film,terminator 3: rise of the machines,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('terminator', 0.7874), ('tv', 0.6307), ('machines', 0.5617)]"
2003,mail,"fedex""cast away""","is the final scene of the 2000 film of the same name where chuck returns the package to its sender. but in this version the woman answers the door when chuck asks what was in the box, the woman replies, ""just a satellite phone, gps locator, fishing rod, water purifier and some seeds. just silly stuff.""","[('mail', 1.0), ('fedex', 0.6509), ('chuck', 0.4251), ('scene', 0.4092), ('cast', 0.373)]"
2004,beer,"budweiser""donkey""","a donkey narrates his life story, where he dreams of becoming a budweiser clydesdale. he trains and trains, even going to the trouble of putting puffy hooves on his feet. when his job interview comes, the five clydesdale horses ask why he should become a clydesdale. he responds with a donkey sound, and gets the job.","[('beer', 1.0), ('budweiser', 0.7479), ('donkey', 0.6251), ('clydesdale', 0.5757), ('horses', 0.3697)]"
2004,car,"ford""the one""",a ford gt is shown driven a speed on a racetrack.,"[('car', 1.0), ('ford', 0.721), ('racetrack', 0.572), ('speed', 0.4385), ('driven', 0.3322)]"
2004,video game,"playstation 2""going back""","tv promo for jet li: rise to honor full version of ""going back"" aired later.","[('video game', 1.0), ('playstation', 0.6697), ('jet', 0.4425), ('promo', 0.4168), ('rise', 0.3887)]"
2004,film,50 first dates,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('dates', 0.5536), ('50', 0.4966)]"
2004,film,hidalgo,tv promo.,"[('film', 1.0), ('hidalgo', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2004,film,starsky  hutch,tv promo.,"[('film', 1.0), ('hutch', 0.8295), ('promo', 0.8236), ('starsky', 0.6955), ('tv', 0.6307)]"
2004,film,secret window,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('window', 0.7149), ('tv', 0.6307), ('secret', 0.5521)]"
2004,film,the alamo,tv promo.,"[('film', 1.0), ('alamo', 0.9316), ('promo', 0.8236), ('tv', 0.6307)]"
2004,film,troy,tv promo.,"[('film', 1.0), ('troy', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2004,film,van helsing,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('helsing', 0.7685), ('van', 0.7004), ('tv', 0.6307)]"
2004,potato chips,"lays""dentures""","a teen drops a bag of lays chips. an elderly woman tries to get the chips, only to get knocked over by an elderly mans cane. the man grabs the bag, only to realize that the woman has his dentures. the teen comes back and takes the lays chips, and plants a kiss on the man.","[('potato chips', 1.0), ('dentures', 0.8526), ('lays', 0.4837), ('chips', 0.4409), ('teen', 0.3643)]"
2004,psa,"truth ""shards oglass""","an executive for a popsicle company, ""shards o glass,""  provides disclaimers for their product  a popsicle with shards of glass in it, clearly unsafe and deadly  and posed the question, ""what if all companies sold products like tobacco""","[('psa', 1.0), ('shards', 0.6756), ('oglass', 0.5761), ('tobacco', 0.4537), ('popsicle', 0.4491)]"
2004,credit card,"mastercard""errands""","homer simpson is doing some errands such as buying beer instead of diapers, an oil change, and a haircut. homer seems to know of the narrators existence, finally being fed up with him at moes bar, muttering the words ""stupid voiceover guy"".","[('credit card', 1.0), ('mastercard', 0.7482), ('homer', 0.5952), ('errands', 0.5949), ('simpson', 0.5902)]"
2004,soft drink,"pepsi""bears disguise""","when two grizzly bears rob a cottage, they find no pepsi anywhere. one of the bears steals the residents id and disguises himself as the person. then, he buys pepsi at a convenience store.","[('soft drink', 1.0), ('pepsi', 0.7306), ('disguise', 0.4653), ('grizzly', 0.458), ('bears', 0.4474)]"
2004,soft drink,"pepsi""hendrix""","in seattle, 1953, a young jimi hendrix walks down a city sidewalk. when he sees a pepsi machine and coke machine, he chooses the pepsi machine. at the machine, he sees a fender telecaster electric guitar in a pawn shop. if he had gone to the coke machine, he would have bought an accordion. the screen then says, ""whew...that was a close one."" in the background, hendrixs ""purple haze"" is playing at first as the original recording, then on accordion.","[('soft drink', 1.0), ('hendrix', 0.6941), ('pepsi', 0.6663), ('hendrixs', 0.6266), ('jimi', 0.5244)]"
2005,beer,"budweiser""audition""","all kinds of animals come to the budweiser clydesdale farm to become a clydesdale. a driver looks at the donkey from last years budweiser commercial and says, ""now look what youve started.""","[('beer', 1.0), ('clydesdale', 0.679), ('budweiser', 0.6715), ('audition', 0.6316), ('donkey', 0.4143)]"
2005,beer,"budweiser""welcome home""","pedestrians are in an airport, minding their own business. people start clapping. then, everyone is clapping, as it is revealed they are clapping for soldiers coming home from war. at the end, a title card says, ""thank you.""director: joe pytka.","[('beer', 1.0), ('budweiser', 0.7211), ('clapping', 0.6379), ('home', 0.4039), ('pedestrians', 0.3701)]"
2005,beer,"heineken""beer run""","brad pitt buys a sixpack of heineken at a corner shop. soon, he is being chased by a mob of paparazzi. it ends with an anonymous phone call.director: david fincher","[('beer', 1.0), ('heineken', 0.7124), ('run', 0.413), ('brad', 0.4023), ('pitt', 0.3426)]"
2005,car,"ford""gang""","a tough biker gang is going to the bar, only to be scared off by fords.","[('car', 1.0), ('gang', 0.7026), ('ford', 0.6686), ('bar', 0.4305), ('biker', 0.3954)]"
2005,credit card,mastercardicons,features classic advertisting mascots eating dinner.,"[('credit card', 1.0), ('mastercardicons', 1.0), ('mascots', 0.6215), ('eating', 0.4331), ('dinner', 0.4122)]"
2005,film,batman begins,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('batman', 0.7858), ('begins', 0.6387), ('tv', 0.6307)]"
2005,film,be cool,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('cool', 0.4117)]"
2005,film,constantine,tv promo.,"[('film', 1.0), ('constantine', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2005,film,hitch,tv promo.,"[('film', 1.0), ('hitch', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2005,film,robots,tv promo.,"[('film', 1.0), ('robots', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2005,film,sahara,tv promo.,"[('film', 1.0), ('sahara', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2005,film,the pacifier,tv promo.,"[('film', 1.0), ('pacifier', 0.9533), ('promo', 0.8236), ('tv', 0.6307)]"
2005,film,war of the worlds,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('war', 0.6782), ('worlds', 0.6673), ('tv', 0.6307)]"
2005,soft drink,"diet pepsi""the diet pepsi truck""","p. diddy is late for an awards show, so he hitches a ride on a diet pepsi truck. after the arrival, everyone starts driving diet pepsi trucks, being the next big thing.","[('soft drink', 1.0), ('pepsi', 0.7401), ('diddy', 0.5415), ('diet', 0.5109), ('truck', 0.4057)]"
2005,technology,olympuslet your pictures groove,"olympus has created two commercials for this weekends super bowl xxxix broadcast that are highenergy odysseys of music, photography and dance. the spots  which promote olympus m:robe 500, the first digital music player that takes pictures  feature funky electronica music, cool poplockin dance techniques and dazzling special effects.neutrality is disputedcitation needed","[('technology', 1.0), ('olympuslet', 0.6548), ('groove', 0.5839), ('olympus', 0.5617), ('commercials', 0.4482)]"
2006,film,16 blocks,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('blocks', 0.7625), ('tv', 0.6307), ('16', 0.5541)]"
2006,film,cars,tv promo.,"[('film', 1.0), ('cars', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2006,film,mission: impossible iii,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('mission', 0.5248), ('iii', 0.3977)]"
2006,film,pirates of the caribbean: dead mans chest,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('tv', 0.6307), ('pirates', 0.5789), ('chest', 0.5374)]"
2006,film,poseidon,tv promo.,"[('film', 1.0), ('poseidon', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2006,film,running scared,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('running', 0.738), ('scared', 0.6758), ('tv', 0.6307)]"
2006,film,the shaggy dog,tv promo.,"[('film', 1.0), ('shaggy', 0.8389), ('promo', 0.8236), ('tv', 0.6307), ('dog', 0.6207)]"
2006,film,v for vendetta,tv promo.,"[('film', 1.0), ('vendetta', 0.8931), ('promo', 0.8236), ('tv', 0.6307)]"
2008,beer,"bud light""cavemen""",three cavemen are trying to carry a cooler of bud light to a party. a friend says that he has invented the wheel. but the wheel is not working when they use it as hoister to carry the bud light.,"[('beer', 1.0), ('cavemen', 0.6647), ('wheel', 0.464), ('light', 0.352), ('hoister', 0.3269)]"
2008,beer,"budweiser""training""","for the budweiser clydesdales this year, hank the clydesdale is not picked. a dalmatian sees this and offers to train hank for next year. in a tribute to rocky, the two train like the training in the famous movie. the year after that, hank becomes a budweiser clydesdale and gives a high five to his trainer.","[('beer', 1.0), ('budweiser', 0.7621), ('clydesdale', 0.543), ('clydesdales', 0.535), ('training', 0.5289)]"
2008,car,"audi""the godfather""","spoofing the godfather, the horses head is replaced with the front of a rollsroyce.","[('car', 1.0), ('audi', 0.6951), ('godfather', 0.6807), ('horses', 0.4281), ('head', 0.3822)]"
2008,film,iron man,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('iron', 0.7287), ('tv', 0.6307), ('man', 0.3361)]"
2008,film,jumper,tv promo.,"[('film', 1.0), ('jumper', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2008,film,the chronicles of narnia: prince caspian,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('narnia', 0.7402), ('caspian', 0.6931), ('tv', 0.6307)]"
2008,film,wanted,tv promo.,"[('film', 1.0), ('wanted', 1.0), ('promo', 0.8236), ('tv', 0.6307)]"
2008,film,you dont mess with the zohan,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('zohan', 0.6949), ('tv', 0.6307), ('mess', 0.3385)]"
2008,soft drink,"coca-cola""its mine""","at the macys thanksgiving day parade, the underdog and stewie griffin balloons chase after a coke balloon, with new yorkers watching from many places. but instead, charlie brown triumphantly catches the coke.","[('soft drink', 1.0), ('coca-cola', 0.7815), ('balloons', 0.4365), ('thanksgiving', 0.4362), ('parade', 0.4349)]"
2008,soft drink,"sobe""thriller""",naomi campbell and lizards do the famous thriller dance.,"[('soft drink', 1.0), ('thriller', 0.8409), ('dance', 0.5152), ('naomi', 0.4695), ('sobe', 0.4593)]"
2008,website,"etrade""baby""","the birth of the etrade baby, the baby explains that he can use etrade, you can use it too.","[('website', 1.0), ('etrade', 0.7194), ('baby', 0.421), ('birth', 0.3471), ('use', 0.2118)]"
2008,website,"etrade""clown""",the etrade baby has rented a clown with his savings.,"[('website', 1.0), ('etrade', 0.695), ('clown', 0.6807), ('savings', 0.3564), ('rented', 0.3425)]"
2009,beer,"bud light""conan""","conan obrien says he will do an embarrassing bud light commercial, and he is promised it will only show in sweden. he watches it in times square.","[('beer', 1.0), ('conan', 0.7727), ('commercial', 0.391), ('bud', 0.3584), ('light', 0.3449)]"
2009,beer,"bud light""drinkability""",two guys are at a ski resort. one guy shows how some skiers have more drinkability than others by drawing a ramp and some trees. the second skier crashes into the trees.,"[('beer', 1.0), ('drinkability', 0.7421), ('skiers', 0.6071), ('skier', 0.5052), ('ski', 0.4846)]"
2009,beer,"budweiser""fetch""",a farmer plays fetch with his dalmatian. a jealous clydesdale goes and fetches a tree branch.,"[('beer', 1.0), ('budweiser', 0.7209), ('fetch', 0.5916), ('farmer', 0.4606), ('clydesdale', 0.4521)]"
2009,beer,"budweiser""true love""","a clydesdale falls in love with a dancing circus horse. he searches for her, until they both escape together from the circus. two clowns watch this, with one of them saying, ""i didnt know daisy was dating.""","[('beer', 1.0), ('budweiser', 0.7276), ('clydesdale', 0.505), ('daisy', 0.4205), ('circus', 0.36)]"
2009,beer,"miller lite""highlight""","the miller lite guy screams, ""highlight""","[('beer', 1.0), ('highlight', 0.6823), ('miller', 0.5353), ('lite', 0.4617), ('screams', 0.4498)]"
2009,car,"audi""the chase""","jason statham is in a car chase, stealing different cars, ending up in different periods of time.","[('car', 1.0), ('audi', 0.7709), ('chase', 0.6411), ('statham', 0.4209), ('jason', 0.4204)]"
2009,car,"hyundai motor company""epic lap""","a hyundai genesis coupe, driven by rhys millen is shown powersliding around a racetrack.","[('car', 1.0), ('hyundai', 0.5763), ('racetrack', 0.4997), ('lap', 0.4754), ('powersliding', 0.4304)]"
2009,film,g.i. joe: the rise of cobra,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('cobra', 0.7083), ('tv', 0.6307), ('joe', 0.5299)]"
2009,film,land of the lost,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('lost', 0.7244), ('land', 0.6479), ('tv', 0.6307)]"
2009,film,monsters vs. aliens,3d tv promo.,"[('film', 1.0), ('3d', 0.6908), ('monsters', 0.6756), ('aliens', 0.6513), ('promo', 0.6263)]"
2009,film,star trek,tv promo.,"[('film', 1.0), ('trek', 0.8315), ('promo', 0.8236), ('tv', 0.6307), ('star', 0.4046)]"
2009,film,transformers: revenge of the fallen,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('transformers', 0.7757), ('tv', 0.6307), ('fallen', 0.5628)]"
2009,film,year one,tv promo.,"[('film', 1.0), ('promo', 0.8236), ('year', 0.7923), ('tv', 0.6307)]"
2009,food,"doritos""crystal ball""","at the office, a worker ask if there will be free doritos today. he then throws the crystal ball at a snack machine for doritos, breaking the glass. an impressed worker asks if he will get a raise today, and throws the crystal ball at his boss in the groin. the first worker comes over, happily eating doritos, and says, ""not today""directors: joseph and dave herbert who won 1,000,000 for the ad","[('food', 1.0), ('doritos', 0.715), ('crystal', 0.5085), ('ball', 0.3908), ('worker', 0.3641)]"
2009,food,"doritos""the power of crunch""","a man learns the power of crunch with a woman stripped down to her underwear, free money from an atm, and a policeman being turned into a monkey.","[('food', 1.0), ('doritos', 0.7058), ('crunch', 0.6715), ('policeman', 0.4017), ('learns', 0.3819)]"
2009,manufacturing,"bridgestone""the potato heads""","mr. potato head is being nagged by his wife while driving. soon, dodging sheep, they swerve, and mrs. potato heads mouth flies off down a mountain. mrs. potato head then sticks on her ""angry eyes"".","[('manufacturing', 1.0), ('bridgestone', 0.5988), ('potato', 0.4939), ('heads', 0.3969), ('head', 0.3912)]"
2009,soft drink,"pepsi""forever young""","a look through two generations, all to the bob dylan song ""forever young"" and its cover by will.i.am.","[('soft drink', 1.0), ('pepsi', 0.75), ('dylan', 0.4781), ('forever', 0.4596), ('generations', 0.4532)]"
2009,soft drink,"pepsi""im good""","many men drinking pepsi max get hurt, then say ""im good"".","[('soft drink', 1.0), ('pepsi', 0.7385), ('drinking', 0.3581), ('hurt', 0.3188), ('max', 0.2848)]"
2009,soft drink,"pepsi""pepsuber""","macgruber changes his name to pepsuber.cast: will forte, kristen wiig, richard dean anderson","[('soft drink', 1.0), ('pepsi', 0.8005), ('pepsuber', 0.7081), ('cast', 0.5646), ('macgruber', 0.4913)]"
2009,restaurant,"dennys""mafia""","three mobsters are thinking about killing a guy, and they ask the waitress for more chocolate dumdiddles and swirly gumdrops on their pancakes. part of the serious breakfast campaign.","[('restaurant', 1.0), ('dennys', 0.7839), ('mafia', 0.6713), ('mobsters', 0.519), ('pancakes', 0.478)]"
2009,website,"etrade""singing baby""",a web baby tries to express himself by singing.,"[('website', 1.0), ('etrade', 0.5415), ('singing', 0.4865), ('baby', 0.364), ('web', 0.3304)]"
2010,beer,"bud light""beer house""","several people meet a man whose house is made out of bud light cans. he says that some of the cans are not empty, and the people start to rush and take the house apart.","[('beer', 1.0), ('cans', 0.5845), ('house', 0.4657), ('bud', 0.35), ('light', 0.3468)]"
2010,beer,"bud light""meteor""","when scientists see a meteor flying towards earth, they decide to party with bud light. the meteor turns out to be a rock, and they still party.","[('beer', 1.0), ('meteor', 0.6654), ('light', 0.3907), ('party', 0.3741), ('scientists', 0.3173)]"
2010,beer,"bud light""tpain voice""","men who hear about a bud light party talk like tpain. soon, tpain shows up at the party.","[('beer', 1.0), ('tpain', 0.6602), ('voice', 0.4442), ('party', 0.3903), ('bud', 0.3449)]"
2010,beer,"budweiser""friends""","a clydesdale and a calf are friends at a young age, though a fence separates them. three years later, the two are reunited and the bull bursts through the fence to his friend.","[('beer', 1.0), ('budweiser', 0.8069), ('clydesdale', 0.559), ('friends', 0.5095), ('bull', 0.4596)]"
2010,beer,"budweiser""human bridge""","when the bridge is out in a small town, the population form a human bridge so that a budweiser truck can cross into town.","[('beer', 1.0), ('budweiser', 0.7148), ('bridge', 0.6023), ('town', 0.3403), ('human', 0.3152)]"
2010,candy,"snickers""betty white""","betty white is playing football and keeps getting tackled. a woman gives her a snickers bar and says, ""try this"". white turns back into a man. wewho then see abe vigoda being tackled, to which he responds, ""that hurt."" it is consideredby whom one of the best commercials in the super bowl. it was also nominated for an emmy.","[('candy', 1.0), ('betty', 0.68), ('snickers', 0.653), ('commercials', 0.4528), ('white', 0.412)]"
2010,car,"dodge charger""woman are shrill""","men go over the rules of life which they hate. the final man thinks, ""and because i do this, i will drive the car i want to drive."" narrated by michael c. hall.","[('car', 1.0), ('shrill', 0.5083), ('dodge', 0.4918), ('woman', 0.4106), ('men', 0.3948)]"
2010,car,"hyundai""creation""",we see a hyundai being made.,"[('car', 1.0), ('hyundai', 0.766), ('creation', 0.4515)]"
2010,car,"hyundai""2020""","a parody of brett favres anonymous retirement, showing him getting an mvp award in 2020.","[('car', 1.0), ('hyundai', 0.742), ('2020', 0.584), ('mvp', 0.4762), ('brett', 0.4647)]"
2010,car,"kia motors""how you like me now""","a teddy bear, a sock monkey, a robot, muno from yo gabba gabba, and another toy are all living their pg13 dreams while driving a kia sorento.","[('car', 1.0), ('kia', 0.6301), ('dreams', 0.4238), ('toy', 0.4055), ('pg13', 0.3933)]"
